Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),m11,m12,m13,m21,m22,m23,m31,m32,m33,qX,qY,qZ,qW,Lat,Long,Speed(m/s),TrueHeading,Alt(m),HorizontalAccuracy(m),VerticalAccuracy(m),Course,ActivityType,ActivityConfidence,Pressure(kilopascals),RelativeAltitude(meters),magX(µT),magY(µT),magZ(µT),calMagX(µT),calMagY(µT),calMagZ(µT)
2024-02-11 11:36:07,0.1434,-0.6232,-0.7819,0.0003,-0.0029,0.1278,0.0308,-0.0307,0.0405,0.2026,0.6832,-0.0136,0.9812,0.1137,-0.1561,0.0105,0.7755,0.6313,0.1928,-0.6211,0.7597,0.3339,0.093,0.0275,0.9376,46.65617,8.621232,0.3773,43.3,2358.928223,4.7,3.4,44.0,Automotive,High,74.4007,0.0,492.4331,-117.7457,-223.3754,0.0,0.0,0.0
2024-02-11 11:36:08,0.0931,-0.7124,0.473,-0.3768,-0.3144,1.1667,0.4393,1.5175,-0.7989,0.3745,0.5411,0.7389,0.5611,0.7661,-0.3135,-0.5773,0.6336,0.5151,0.5933,-0.108,0.7977,-0.1801,-0.2621,-0.3883,-0.8649,46.656174,8.621237,0.4185,59.6,2359.107666,4.7,3.4,44.0,Automotive,High,74.401,-0.0317,500.457,-101.1034,-216.1501,24.4484,6.6162,29.1308
2024-02-11 11:36:09,-0.2759,-0.6593,-0.09,-0.6981,0.2198,0.1314,0.1475,-0.8085,-0.2938,1.0878,1.0738,0.1671,0.3285,0.8449,-0.4222,-0.0793,0.4701,0.879,0.9412,-0.2552,0.2214,-0.399,-0.4796,-0.3251,-0.7106,46.656177,8.621241,0.4242,92.0,2358.712646,4.7,3.4,44.0,Automotive,High,74.4013,-0.0662,507.5022,-118.2597,-204.9697,31.8471,-10.3474,40.0805
2024-02-11 11:36:10,0.4717,-0.5871,-0.1566,0.1427,0.3254,0.0864,1.3234,0.8673,-0.3398,0.9345,1.1494,-0.7263,0.9317,0.1541,-0.329,0.2717,0.3058,0.9125,0.2412,-0.9395,0.2431,-0.588,-0.181,0.0373,-0.7875,46.65618,8.621245,0.354,112.7,2358.248047,4.7,3.4,44.0,Automotive,High,74.4018,-0.1111,492.2055,-124.1613,-218.2149,16.9769,-16.8235,28.7793
2024-02-11 11:36:11,0.4336,-0.8536,-0.3474,0.0373,0.0122,-0.0418,0.5504,-0.1852,-0.88,0.9139,1.0467,-1.9957,0.3729,-0.839,-0.3963,0.4559,-0.2063,0.8658,-0.8081,-0.5036,0.3056,-0.5643,0.1697,0.5336,-0.6067,46.656183,8.621249,0.458,189.5,2357.114746,4.7,3.4,44.0,Automotive,High,74.4021,-0.1428,479.4749,-135.137,-204.7143,2.9081,-47.0248,-11.5327
2024-02-11 11:36:12,0.7185,-0.6137,-0.1965,0.0223,0.0215,0.0286,-0.8489,0.5421,0.2694,1.2496,0.6892,-1.9728,0.4318,-0.5266,-0.7323,0.7102,-0.3019,0.6359,-0.556,-0.7947,0.2436,-0.6103,-0.0752,0.5277,-0.586,46.656187,8.621255,0.8934,192.5,2356.872803,4.7,3.4,44.0,Automotive,High,74.4021,-0.1428,500.645,-127.9247,-207.1898,23.8846,-39.2887,-15.521
2024-02-11 11:36:13,0.1051,-0.9353,-0.0199,-0.1408,0.0411,0.0593,0.0569,0.7233,0.0937,1.3326,1.3221,-1.8145,0.8571,-0.4563,-0.2392,0.2389,-0.0594,0.9692,-0.4564,-0.8879,0.0581,-0.6816,0.0797,0.2552,-0.6811,46.656188,8.621257,0.1535,108.9,2356.267334,4.7,3.4,44.0,Automotive,High,74.4021,-0.1428,487.3532,-130.614,-210.4293,9.7545,-42.2506,-18.115
2024-02-11 11:36:14,0.0689,-1.4494,-0.0931,0.027,-0.5032,-0.1191,-0.7073,1.9867,-0.4378,1.7878,1.4881,-1.7438,0.9957,0.0446,-0.0807,0.0814,-0.0142,0.9966,0.0433,-0.9989,-0.0178,-0.712,-0.0442,0.0131,-0.7007,46.656194,8.621265,0.6931,19.3,2355.87085,4.7,3.4,44.0,Automotive,High,74.4002,0.0527,496.2527,-133.1695,-203.1508,18.0305,-45.2922,-10.422
2024-02-11 11:36:15,0.1896,-1.0245,0.2709,0.1691,-0.0381,0.0864,0.1474,-0.6391,0.3007,2.8902,1.3769,-1.9341,0.5723,0.8186,-0.0479,0.1801,-0.0685,0.9813,0.8,-0.5702,-0.1866,-0.6759,-0.3694,-0.2782,-0.5739,46.656196,8.621268,0.584,294.8,2356.169922,4.7,3.4,44.0,Automotive,High,74.3997,0.1057,498.6994,-131.1853,-177.1025,21.2265,-43.1116,15.6894
2024-02-11 11:36:16,-0.0321,-0.897,0.2037,-0.1499,0.0508,-0.0227,0.1823,-0.9963,-0.1355,2.6448,1.2862,2.8574,0.7156,-0.6855,-0.1338,-0.0787,-0.2695,0.9598,-0.694,-0.6763,-0.2468,-0.747,0.2558,0.2771,-0.5476,46.6562,8.621274,0.4903,24.2,2356.040527,4.7,3.4,44.0,Unknown,High,74.3995,0.1243,493.4155,-134.2889,-193.9255,15.8942,-46.2546,-1.2889
2024-02-11 11:36:17,0.0881,-1.0806,0.2351,-0.0201,-0.1056,0.0414,-0.0894,2.053,0.1987,2.6321,1.347,1.691,-0.3675,-0.9237,-0.1083,-0.2204,-0.0266,0.9751,-0.9036,0.3821,-0.1938,-0.4618,0.6194,0.5478,-0.321,46.656199,8.621272,0.1386,90.0,2356.296631,7.7,3.4,44.0,Unknown,High,74.3992,0.1611,479.3955,-130.0229,-194.7721,1.9443,-42.0518,-1.7886
2024-02-11 11:36:18,0.2678,-0.9955,0.0099,0.0425,0.4578,-0.0159,-0.1095,-0.9933,-0.3468,2.7755,1.3824,1.529,-0.3904,-0.9182,-0.067,-0.1871,0.0078,0.9823,-0.9014,0.396,-0.1749,-0.4406,0.6271,0.5495,-0.3326,46.656203,8.621277,0.4829,85.5,2357.37207,4.7,3.4,44.0,Unknown,High,74.3992,0.1611,476.6141,-130.8661,-194.6276,-0.8018,-42.7957,-2.0731
2024-02-11 11:36:19,0.6928,-0.343,-0.6685,0.1848,0.2081,0.137,-2.2582,-2.1046,2.5865,0.6441,0.4809,-2.341,-0.3574,-0.7674,-0.5324,0.6363,-0.6173,0.4626,-0.6836,-0.1734,0.709,-0.3711,0.0883,0.8191,-0.4284,46.656205,8.62128,0.364,95.3,2357.336914,4.7,3.4,44.0,Walking,High,74.3994,0.1375,491.8735,-112.0909,-228.3143,13.5432,-23.1368,-36.144
2024-02-11 11:36:20,0.1129,0.1532,-0.9214,0.0791,0.1653,0.2213,-3.4583,0.6893,2.4504,0.0459,0.0098,-2.0595,-0.4686,-0.8822,-0.0459,0.8829,-0.4694,0.0098,-0.0302,-0.0359,0.9989,-0.0222,-0.0076,0.8569,-0.515,46.65616,8.621348,0.1654,69.0,2356.836914,4.7,3.4,26.8,Walking,High,74.4001,0.0608,468.5281,-86.6081,-235.0369,-8.6221,2.5327,-42.3017
2024-02-11 11:36:21,0.5822,0.4253,-0.2742,1.0566,0.4948,0.8301,0.4596,-4.4925,-0.2186,-0.4413,0.1517,-2.0434,-0.469,-0.7757,0.4222,0.8802,-0.4499,0.1511,0.0728,0.4425,0.8938,0.1476,0.177,0.8386,-0.4937,46.656158,8.621353,0.2206,66.4,2356.48877,4.7,3.4,26.8,Walking,High,74.4002,0.0527,453.9559,-89.5866,-227.4643,-25.9045,-1.604,-33.3927
