Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),m11,m12,m13,m21,m22,m23,m31,m32,m33,qX,qY,qZ,qW,Lat,Long,Speed(m/s),TrueHeading,Alt(m),HorizontalAccuracy(m),VerticalAccuracy(m),Course,ActivityType,ActivityConfidence,Pressure(kilopascals),RelativeAltitude(meters),magX(µT),magY(µT),magZ(µT),calMagX(µT),calMagY(µT),calMagZ(µT)
2024-02-03 09:14:05,0.0779,-0.757,-0.6574,0.0067,0.0072,0.0429,0.1006,0.1067,-0.0197,0.1187,0.8275,0.2402,0.9437,0.3209,-0.0802,-0.161,0.6573,0.7362,0.289,-0.6819,0.672,0.3919,0.102,0.1332,0.9046,46.642596,8.607158,0.3219,182.9,1820.056152,5.0,5.7,-1.0,Unknown,High,82.6917,-0.2563,475.8704,-156.4049,-228.1336,0.0,0.0,0.0
2024-02-03 09:14:06,-0.0195,-0.64,-0.7388,-0.012,0.0162,0.0175,-0.0341,0.0453,0.0337,-0.011,0.7168,1.5837,-0.0057,0.9999,0.0083,-0.7539,-0.0097,0.657,0.657,-0.0025,0.7539,-0.2501,-0.246,-0.6651,-0.6593,46.6426,8.607152,0.261,183.9,1818.798828,4.2,4.5,-1.0,Unknown,High,82.6919,-0.2721,471.5945,-152.8228,-233.3107,4.1213,-42.4331,-20.3956
2024-02-03 09:14:07,0.0201,-0.6639,-0.7224,0.0205,-0.0061,0.0302,-0.0402,0.0201,0.0117,-0.0139,0.7091,1.6165,-0.0366,0.9993,0.0105,-0.7582,-0.0347,0.6511,0.651,0.0159,0.7589,-0.2445,-0.2465,-0.6764,-0.6495,46.642613,8.607158,0.1937,181.9,1819.143066,3.6,3.8,-1.0,Stationary,Low,82.6919,-0.2775,470.7997,-152.9743,-234.0527,3.2566,-42.5399,-21.0708
2024-02-03 09:14:08,0.1354,-0.8035,-0.5651,0.0218,0.0094,-0.0132,0.1026,-0.0201,0.0545,0.2314,0.9654,1.3813,-0.0019,0.9914,-0.1305,-0.5589,0.1072,0.8223,0.8292,0.0745,0.5539,-0.2903,-0.3725,-0.6018,-0.6441,46.642612,8.607154,0.1922,187.1,1819.025024,3.2,3.4,-1.0,Unknown,High,82.6921,-0.2933,476.0195,-156.4652,-220.3674,8.4765,-46.0231,-7.3519
2024-02-03 09:14:09,0.015,-0.6509,-0.7989,-0.0084,0.0215,-0.08,-0.0272,0.0952,0.0826,0.0306,0.7352,1.4467,0.1033,0.9944,-0.0227,-0.736,0.0918,0.6708,0.6691,-0.0526,0.7413,-0.2599,-0.2486,-0.6217,-0.6958,46.642614,8.607154,0.1922,190.3,1819.025024,4.4,3.8,0.0,Unknown,High,82.6923,-0.3118,471.7537,-153.8289,-232.7194,4.3305,-43.3381,-19.6518
2024-02-03 09:14:10,-0.0412,-0.6396,-0.7664,-0.0215,0.0211,-0.0084,-0.1043,0.0042,0.0981,-0.0232,0.7245,1.4897,0.0963,0.9952,0.0173,-0.7463,0.0606,0.6628,0.6586,-0.0767,0.7486,-0.2679,-0.2323,-0.6308,-0.6902,46.642619,8.607153,0.1806,189.2,1819.131226,4.5,3.7,0.0,Unknown,High,82.6924,-0.3197,469.0431,-153.8173,-232.1497,1.5106,-43.4352,-19.225
2024-02-03 09:14:11,-0.0039,-0.68,-0.7216,0.0056,-0.0081,0.0227,-0.0877,0.1119,-0.0142,-0.0202,0.7378,1.481,0.1032,0.9946,0.0149,-0.737,0.0664,0.6726,0.668,-0.0804,0.7398,-0.2725,-0.2363,-0.6266,-0.6909,46.642626,8.607152,0.2204,189.2,1818.972168,4.5,3.7,0.0,Unknown,High,82.6924,-0.325,468.9477,-154.4753,-230.8001,1.5703,-44.0369,-18.0104
2024-02-03 09:14:12,0.0018,-0.6535,-0.8015,0.0016,0.0094,-0.0629,0.0825,-0.0552,-0.0624,-0.0089,0.722,1.4857,0.0909,0.9958,0.0067,-0.7478,0.0638,0.6609,0.6577,-0.0651,0.7504,-0.263,-0.2358,-0.6316,-0.6901,46.642632,8.60715,0.2204,189.2,1819.5177,4.5,3.7,0.0,Unknown,High,82.6927,-0.3461,468.5081,-154.7547,-232.0547,0.941,-44.3539,-19.0198
2024-02-03 09:14:13,0.0006,-0.6746,-0.8019,0.0052,-0.0208,-0.0466,-0.0139,0.086,0.0164,-0.0036,0.7183,1.4683,0.1047,0.9945,0.0027,-0.749,0.077,0.6581,0.6543,-0.0709,0.7529,-0.2621,-0.2342,-0.6267,-0.6955,46.642634,8.607154,0.3019,189.2,1820.084961,4.4,3.7,0.0,Unknown,High,82.6927,-0.3461,468.5486,-155.3878,-231.4702,1.272,-45.0308,-18.634
2024-02-03 09:14:14,-0.0532,-0.6386,-0.7468,-0.0144,-0.006,0.0136,0.0735,-0.0044,-0.0343,-0.0481,0.6795,1.5178,0.0831,0.9958,0.0374,-0.7768,0.0412,0.6284,0.6243,-0.0812,0.777,-0.2573,-0.2128,-0.6428,-0.6894,46.642635,8.607159,0.327,188.2,1820.753296,4.4,3.7,360.0,Unknown,High,82.6927,-0.354,465.9586,-154.7868,-233.8014,-1.4462,-44.3235,-21.061
