Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),m11,m12,m13,m21,m22,m23,m31,m32,m33,qX,qY,qZ,qW,Lat,Long,Speed(m/s),TrueHeading,Alt(m),HorizontalAccuracy(m),VerticalAccuracy(m),Course,ActivityType,ActivityConfidence,Pressure(kilopascals),RelativeAltitude(meters),magX(µT),magY(µT),magZ(µT),calMagX(µT),calMagY(µT),calMagZ(µT)
2023-04-07 09:13:51,0.1534,-0.518,-0.8395,-0.0108,0.0025,-0.0101,0.0166,0.0051,0.0318,0.1982,0.5476,-2.8893,-0.9238,-0.344,-0.1681,0.2131,-0.8267,0.5206,-0.3181,0.4451,0.8371,-0.1284,0.2549,0.947,-0.1471,46.632262,8.592034,0.1935,75.1,1435.913452,13.3,3.9,-1.0,Stationary,Low,85.165,-0.0343,-135.5536,36.2744,-65.9999,-27.1108,6.9614,-7.9447
2023-04-07 09:13:52,0.1562,-0.5118,-0.8333,-0.0094,0.0023,0.0054,0.0042,0.0032,-0.0066,0.1922,0.5392,-2.8981,-0.929,-0.3318,-0.164,0.2069,-0.8328,0.5135,-0.3069,0.4431,0.8423,-0.124,0.2519,0.9492,-0.1419,46.632283,8.592056,0.4469,76.1,1436.339233,13.8,3.9,-1.0,Unknown,High,85.1649,-0.0264,-135.1368,36.0763,-66.4066,-26.8162,7.0748,-8.5435
2023-04-07 09:13:53,0.1508,-0.5035,-0.8493,-0.0059,0.0053,-0.0014,0.002,0.0021,0.0225,0.1822,0.5332,-2.8874,-0.9287,-0.3364,-0.156,0.2166,-0.8335,0.5083,-0.3011,0.4382,0.8469,-0.1203,0.2491,0.9499,-0.1455,46.632277,8.59205,0.226,76.1,1436.754761,14.9,3.9,-1.0,Stationary,Low,85.1648,-0.0184,-135.6325,36.4408,-67.069,-27.0917,7.1687,-9.2339
2023-04-07 09:13:54,0.1604,-0.5134,-0.8229,-0.007,0.0025,0.0136,0.0594,0.0147,0.0097,0.1984,0.5428,-2.9001,-0.9276,-0.3333,-0.1687,0.2048,-0.8314,0.5166,-0.3125,0.4446,0.8395,-0.1268,0.2533,0.9485,-0.1418,46.6323,8.592035,0.5294,76.1,1436.68689,15.0,3.9,-1.0,Stationary,Low,85.1648,-0.0184,-135.1522,36.4185,-66.2895,-26.4431,7.0141,-7.935
2023-04-07 09:13:55,0.1569,-0.5341,-0.833,0.0065,-0.008,0.0061,-0.0024,0.0176,0.0147,0.1766,0.5525,-2.854,-0.9179,-0.3676,-0.1496,0.2414,-0.8163,0.5248,-0.315,0.4456,0.838,-0.1229,0.2567,0.945,-0.1611,46.6323,8.592035,0.0,74.9,1436.68689,14.6,3.9,-1.0,Unknown,High,85.1648,-0.0184,-136.8931,36.2061,-66.0967,-28.3148,7.0149,-8.3881
2023-04-07 09:13:56,0.1402,-0.5249,-0.822,-0.0152,0.0021,0.0136,0.0087,-0.0016,0.0262,0.1847,0.5557,-2.8528,-0.9147,-0.3729,-0.1561,0.2419,-0.8143,0.5276,-0.3238,0.4448,0.835,-0.1271,0.2575,0.9439,-0.1628,46.6323,8.592035,0.0,73.9,1436.68689,14.0,3.9,-1.0,Unknown,High,85.1648,-0.0184,-136.7274,36.4529,-67.1522,-28.2382,7.1504,-9.0129
2023-04-07 09:13:57,0.2725,-0.5471,-0.845,0.0776,-0.0145,-0.0166,-0.0226,-0.048,-0.0425,0.2178,0.5583,-3.0139,-0.9539,-0.2378,-0.1833,0.108,-0.8413,0.5297,-0.2801,0.4855,0.8281,-0.1217,0.2667,0.9517,-0.0908,46.632322,8.592045,0.1514,82.0,1434.90564,14.3,3.9,-1.0,Unknown,High,85.1648,-0.0184,-131.8551,35.6236,-64.1165,-23.2364,6.227,-6.1453
2023-04-07 09:13:58,0.4489,-0.5924,-0.9436,0.0414,-0.0549,-0.1594,0.3398,0.7824,0.0628,0.4715,0.5382,2.7334,-0.9101,0.14,-0.39,-0.3408,-0.7881,0.5126,-0.2356,0.5995,0.765,-0.1681,0.2988,0.9305,0.1292,46.63233,8.592062,0.0,108.7,1434.76123,13.8,3.9,-1.0,Unknown,High,85.1648,-0.0184,-113.2064,38.546,-58.0968,-4.6878,9.1108,0.0656
2023-04-07 09:13:59,0.6856,-0.7265,-0.0184,-0.1006,-0.1458,-0.2381,0.3398,0.7824,0.0628,1.8793,0.627,2.0384,-0.3621,-0.523,-0.7716,-0.7229,-0.365,0.5867,-0.5885,0.7702,-0.2459,-0.5587,0.5574,0.6085,0.0821,46.63232,8.592063,0.139,109.4,1434.619507,14.1,3.9,-1.0,Unknown,High,85.1647,-0.0052,-129.0272,55.9793,-7.0269,-20.8371,25.9393,50.5388
2023-04-07 09:14:00,-0.3974,-1.4514,0.5401,-0.4102,-0.4524,0.2641,0.2378,0.1376,1.3491,3.1137,1.2301,0.8672,-0.6667,-0.7453,-0.0093,-0.2548,0.2162,0.9425,-0.7004,0.6308,-0.334,-0.3358,0.7445,0.5283,-0.2321,46.632308,8.592068,0.1609,46.7,1434.838745,14.3,3.9,-1.0,Unknown,High,85.1647,-0.0052,-149.0855,49.0089,-13.9328,-40.8132,20.0843,43.6841
2023-04-07 09:14:01,0.1142,-1.0473,0.3539,-0.0688,-0.1415,-0.047,0.2956,-0.3491,-0.1599,2.6929,1.1363,0.9527,-0.8428,-0.5063,-0.1826,-0.3431,0.2439,0.9071,-0.4147,0.8271,-0.3793,-0.2704,0.7852,0.5522,-0.0739,46.632329,8.592057,0.2971,77.3,1435.391968,15.0,3.9,-1.0,Unknown,High,85.1647,-0.0052,-136.7519,52.7738,-8.8053,-27.1869,23.5335,48.4222
