Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),m11,m12,m13,m21,m22,m23,m31,m32,m33,qX,qY,qZ,qW,Lat,Long,Speed(m/s),TrueHeading,Alt(m),HorizontalAccuracy(m),VerticalAccuracy(m),Course,ActivityType,ActivityConfidence,Pressure(kilopascals),RelativeAltitude(meters),magX(µT),magY(µT),magZ(µT),calMagX(µT),calMagY(µT),calMagZ(µT)
2024-02-04 09:45:35,0.1922,-0.3479,-0.9826,0.007,0.1008,0.0347,-0.2991,0.1544,-0.0899,0.2268,0.4051,2.8174,-0.9519,0.2263,-0.2067,-0.2927,-0.8712,0.3941,-0.0908,0.4357,0.8955,0.0771,-0.2152,-0.9642,-0.1346,46.621187,8.61302,-1.0,109.8,2213.216797,1807.1,61.1,-1.0,Unknown,High,76.119,0.0,453.5881,-134.0068,-256.9979,-9.0679,-27.6036,-45.7127
2024-02-04 09:45:36,0.0908,-0.397,-0.6866,-0.0714,0.0364,0.2205,0.2636,-0.0981,0.1425,0.2149,0.4268,2.8313,-0.9573,0.2142,-0.1941,-0.2779,-0.8668,0.4139,-0.0796,0.4502,0.8894,0.071,-0.2242,-0.9635,-0.1277,46.621187,8.61302,-1.0,108.7,2213.216797,1807.1,61.1,-1.0,Unknown,High,76.119,0.0,454.2118,-134.6189,-255.8427,-8.6285,-27.0907,-45.4847
2024-02-04 09:45:37,0.0375,-0.3651,-0.936,-0.0546,0.0005,-0.0351,0.3272,-0.2148,0.1573,0.1154,0.3652,2.8227,-0.9562,0.2724,-0.1075,-0.2928,-0.887,0.3572,0.0019,0.373,0.9278,0.0272,-0.188,-0.9709,-0.1455,46.621187,8.61302,-1.0,110.9,2213.216797,1807.1,61.1,-1.0,Unknown,High,76.1097,0.9802,440.7044,-129.3311,-257.2758,-22.6558,-22.7829,-46.3289
2024-02-04 09:45:38,0.0144,-0.2673,-0.8922,-0.0412,-0.019,0.0732,0.0626,0.0634,0.2389,0.0429,0.2635,2.8914,-0.9707,0.2365,-0.0414,-0.239,-0.9354,0.2604,0.0229,0.2627,0.9646,0.0047,-0.1329,-0.9837,-0.1209,46.621187,8.61302,-1.0,107.4,2213.216797,1807.1,61.1,-1.0,Unknown,High,76.1004,1.9604,439.4838,-126.7298,-256.5003,-23.4059,-19.9219,-45.7558
2024-02-04 09:45:39,0.1912,-0.4596,-0.8941,0.034,-0.0016,-0.0177,-0.3062,-0.1541,-0.459,0.1838,0.4737,2.6454,-0.9043,0.3947,-0.1626,-0.4236,-0.7826,0.4562,0.0528,0.4814,0.8749,0.0291,-0.2484,-0.9436,-0.2168,46.621187,8.61302,-1.0,118.3,2213.216797,1807.1,61.1,-1.0,Unknown,High,76.0811,3.9846,447.4849,-140.8846,-252.6759,-15.0221,-33.9742,-42.2803
2024-02-04 09:45:40,0.225,-0.482,-0.7916,0.0193,0.0127,0.0684,-0.0684,-0.0483,-0.0016,0.2167,0.5257,2.6461,-0.9105,0.3694,-0.186,-0.4112,-0.761,0.5018,0.0438,0.5334,0.8447,0.0379,-0.276,-0.9376,-0.2081,46.621187,8.61302,-1.0,119.2,2213.216797,1807.1,61.1,-1.0,Unknown,High,76.0614,6.0508,448.9465,-142.5676,-250.6679,-14.0155,-35.3421,-40.202
2024-02-04 09:45:41,0.2409,-0.418,-0.8744,0.0082,0.0245,-0.0106,-0.1424,0.6635,0.0097,0.2666,0.4163,2.7165,-0.9228,0.3008,-0.2409,-0.3772,-0.8332,0.4044,-0.0791,0.464,0.8823,0.0839,-0.2276,-0.9537,-0.1777,46.621187,8.61302,-1.0,114.7,2213.216797,1807.1,61.1,-1.0,Unknown,High,76.0427,8.0142,451.9511,-136.9664,-255.9843,-11.2881,-30.0181,-45.4019
2024-02-04 09:45:42,0.3738,-0.4094,-0.7696,-0.0842,0.0252,-0.0081,0.1272,-0.1666,0.0438,0.521,0.4655,2.6436,-0.8687,0.218,-0.4448,-0.4269,-0.7851,0.4489,-0.2514,0.5798,0.775,0.188,-0.2778,-0.9258,-0.1741,46.621187,8.61302,-1.0,114.6,2213.216797,1807.1,61.1,-1.0,Unknown,High,76.0387,8.4343,462.8488,-140.4557,-253.7213,-0.1487,-33.2059,-43.1086
2024-02-04 09:45:43,0.2383,-0.4277,-0.9639,-0.028,-0.002,-0.0968,-0.1492,-0.0324,0.1396,0.2969,0.4419,2.4565,-0.8196,0.5082,-0.2644,-0.572,-0.7,0.4277,0.0323,0.5018,0.8644,0.0631,-0.2526,-0.9198,-0.2936,46.621187,8.61302,-1.0,129.1,2213.216797,1807.1,61.1,-1.0,Unknown,High,76.0387,8.4343,454.3261,-141.6037,-252.5962,-8.7574,-34.5736,-41.9622
2024-02-04 09:45:44,0.166,-0.4274,-0.8626,0.0022,0.0199,0.0242,0.0234,-0.2583,0.048,0.2066,0.4609,2.5203,-0.849,0.4955,-0.1838,-0.5213,-0.7283,0.4448,0.0865,0.4734,0.8766,0.0262,-0.247,-0.9292,-0.2736,46.621187,8.61302,-1.0,125.7,2213.216797,1807.1,61.1,-1.0,Unknown,High,76.0178,10.6326,449.9722,-141.3657,-252.3625,-12.9526,-34.3532,-41.8149
2024-02-04 09:45:45,0.2034,-0.4053,-0.874,-0.0134,0.0132,0.0039,-0.027,0.0501,0.029,0.2451,0.4304,2.5377,-0.856,0.4675,-0.2206,-0.5161,-0.7481,0.4172,0.0301,0.471,0.8816,0.051,-0.2379,-0.9335,-0.2634,46.621187,8.61302,-1.0,125.7,2213.216797,1807.1,61.1,-1.0,Unknown,High,75.9966,12.8547,451.4661,-140.305,-253.5658,-11.662,-33.0221,-43.0146
2024-02-04 09:45:46,0.5035,-0.6663,-0.5944,-0.0245,-0.0172,-0.0827,-0.1634,-0.1325,-0.151,0.8112,0.7033,2.3532,-0.8181,0.1578,-0.553,-0.5409,-0.5377,0.6467,-0.1953,0.8282,0.5253,0.2205,-0.4345,-0.8487,-0.2058,46.621187,8.61302,-1.0,121.3,2213.216797,1807.1,61.1,-1.0,Unknown,High,75.9755,15.0718,467.6985,-152.7799,-240.2841,4.67,-45.859,-29.6423
2024-02-04 09:45:47,0.1969,-0.4005,-0.9007,-0.006,-0.0025,-0.0114,-0.1587,0.0641,-0.0128,0.2326,0.42,2.5693,-0.8689,0.448,-0.2105,-0.4945,-0.7676,0.4077,0.0211,0.4584,0.8885,0.0504,-0.2307,-0.9388,-0.251,46.621187,8.61302,-1.0,123.3,2213.216797,1807.1,61.1,-1.0,Unknown,High,75.9538,17.3574,450.8279,-137.9223,-254.0884,-12.3133,-30.9733,-43.5905
